,0,1
0,1,503
1,1,28
2,1,555
3,1,226
4,1,239
5,1,275
6,1,465
7,1,317
8,1,486
9,1,509
10,1,282
11,1,222
12,1,415
13,1,41
14,1,156
15,1,225
16,1,586
17,1,223
18,1,330
19,1,117
20,1,436
21,1,280
22,1,75
23,1,420
24,1,68
25,1,129
26,1,181
27,1,102
28,1,381
29,1,187
30,1,244
31,1,428
32,1,353
33,1,133
34,1,603
35,1,51
36,1,572
37,1,553
38,1,11
39,1,72
40,1,307
41,1,573
42,1,325
43,1,479
44,1,437
45,1,7
46,1,606
47,1,93
48,1,220
49,1,4
50,1,249
51,1,292
52,1,166
53,1,493
54,1,21
55,1,263
56,1,332
57,1,562
58,1,520
59,1,64
60,1,274
61,1,373
62,1,314
63,1,328
64,1,174
65,1,290
66,1,339
67,1,357
68,1,216
69,1,446
70,1,38
71,1,179
72,1,532
73,1,131
74,1,15
75,1,369
76,1,42
77,1,411
78,1,260
79,1,534
80,1,414
81,1,204
82,1,367
83,1,232
84,1,527
85,1,167
86,1,82
87,1,230
88,1,215
89,1,153
90,1,69
91,1,20
92,1,202
93,1,452
94,1,323
95,1,362
96,1,322
97,1,169
98,1,165
99,2,317
100,2,68
101,2,573
102,2,249
103,2,274
104,2,414
105,3,414
106,4,503
107,4,28
108,4,555
109,4,226
110,4,239
111,4,275
112,4,465
113,4,317
114,4,509
115,4,282
116,4,222
117,4,415
118,4,41
119,4,156
120,4,225
121,4,586
122,4,223
123,4,330
124,4,117
125,4,280
126,4,75
127,4,420
128,4,68
129,4,129
130,4,381
131,4,187
132,4,244
133,4,428
134,4,603
135,4,51
136,4,572
137,4,553
138,4,307
139,4,573
140,4,325
141,4,479
142,4,437
143,4,7
144,4,606
145,4,93
146,4,220
147,4,249
148,4,292
149,4,166
150,4,21
151,4,263
152,4,332
153,4,562
154,4,520
155,4,64
156,4,274
157,4,314
158,4,328
159,4,290
160,4,339
161,4,357
162,4,216
163,4,446
164,4,504
165,4,369
166,4,42
167,4,411
168,4,260
169,4,534
170,4,414
171,4,367
172,4,232
173,4,527
174,4,167
175,4,82
176,4,230
177,4,215
178,4,153
179,4,20
180,4,202
181,4,452
182,4,323
183,4,322
184,4,169
185,5,28
186,5,555
187,5,226
188,5,239
189,5,486
190,5,130
191,5,156
192,5,379
193,5,330
194,5,117
195,5,436
196,5,126
197,5,68
198,5,181
199,5,102
200,5,381
201,5,468
202,5,353
203,5,56
204,5,133
205,5,603
206,5,307
207,5,573
208,5,437
209,5,606
210,5,94
211,5,220
212,5,249
213,5,292
214,5,349
215,5,64
216,5,274
217,5,373
218,5,314
219,5,328
220,5,174
221,5,357
222,5,444
223,5,446
224,5,38
225,5,179
226,5,498
227,5,42
228,5,411
229,5,414
230,5,230
231,5,202
232,5,323
233,6,451
234,6,28
235,6,555
236,6,226
237,6,239
238,6,275
239,6,317
240,6,486
241,6,509
242,6,282
243,6,222
244,6,456
245,6,130
246,6,156
247,6,379
248,6,586
249,6,223
250,6,330
251,6,117
252,6,436
253,6,280
254,6,126
255,6,270
256,6,68
257,6,129
258,6,181
259,6,102
260,6,381
261,6,187
262,6,107
263,6,244
264,6,468
265,6,428
266,6,335
267,6,353
268,6,56
269,6,133
270,6,603
271,6,51
272,6,54
273,6,572
274,6,11
275,6,72
276,6,307
277,6,573
278,6,325
279,6,479
280,6,437
281,6,606
282,6,94
283,6,93
284,6,220
285,6,4
286,6,249
287,6,292
288,6,166
289,6,21
290,6,263
291,6,332
292,6,562
293,6,520
294,6,349
295,6,64
296,6,192
297,6,274
298,6,373
299,6,314
300,6,328
301,6,174
302,6,290
303,6,339
304,6,357
305,6,444
306,6,446
307,6,38
308,6,173
309,6,609
310,6,179
311,6,498
312,6,369
313,6,42
314,6,411
315,6,534
316,6,414
317,6,232
318,6,527
319,6,167
320,6,82
321,6,230
322,6,20
323,6,202
324,6,452
325,6,323
326,6,362
327,6,322
328,6,169
329,7,28
330,7,555
331,7,226
332,7,239
333,7,275
334,7,465
335,7,317
336,7,509
337,7,282
338,7,222
339,7,41
340,7,156
341,7,586
342,7,223
343,7,330
344,7,280
345,7,75
346,7,420
347,7,68
348,7,129
349,7,381
350,7,187
351,7,428
352,7,603
353,7,51
354,7,572
355,7,11
356,7,490
357,7,22
358,7,307
359,7,573
360,7,325
361,7,479
362,7,606
363,7,220
364,7,4
365,7,249
366,7,292
367,7,166
368,7,21
369,7,263
370,7,332
371,7,562
372,7,520
373,7,64
374,7,274
375,7,314
376,7,328
377,7,290
378,7,339
379,7,357
380,7,139
381,7,504
382,7,15
383,7,369
384,7,42
385,7,534
386,7,414
387,7,367
388,7,232
389,7,527
390,7,167
391,7,82
392,7,230
393,7,215
394,7,153
395,7,69
396,7,20
397,7,202
398,7,452
399,7,80
400,7,362
401,7,322
402,7,169
403,8,28
404,8,555
405,8,226
406,8,239
407,8,275
408,8,486
409,8,282
410,8,130
411,8,156
412,8,379
413,8,330
414,8,117
415,8,436
416,8,126
417,8,68
418,8,181
419,8,102
420,8,381
421,8,187
422,8,107
423,8,468
424,8,428
425,8,353
426,8,56
427,8,133
428,8,603
429,8,54
430,8,307
431,8,573
432,8,437
433,8,606
434,8,94
435,8,93
436,8,220
437,8,249
438,8,292
439,8,166
440,8,263
441,8,332
442,8,349
443,8,64
444,8,192
445,8,274
446,8,373
447,8,314
448,8,328
449,8,174
450,8,357
451,8,444
452,8,446
453,8,38
454,8,173
455,8,609
456,8,179
457,8,498
458,8,42
459,8,411
460,8,534
461,8,414
462,8,232
463,8,82
464,8,230
465,8,202
466,8,323
467,8,169
468,9,68
469,9,307
470,9,606
471,9,274
472,9,414
473,10,28
474,10,226
475,10,239
476,10,275
477,10,317
478,10,509
479,10,282
480,10,222
481,10,41
482,10,586
483,10,330
484,10,280
485,10,420
486,10,68
487,10,129
488,10,381
489,10,187
490,10,428
491,10,490
492,10,22
493,10,307
494,10,573
495,10,7
496,10,606
497,10,220
498,10,249
499,10,292
500,10,166
501,10,21
502,10,263
503,10,332
504,10,562
505,10,520
506,10,64
507,10,274
508,10,328
509,10,339
510,10,357
511,10,139
512,10,504
513,10,15
514,10,534
515,10,414
516,10,232
517,10,167
518,10,230
519,10,215
520,10,153
521,10,362
522,10,322
523,10,169
524,11,28
525,11,555
526,11,226
527,11,239
528,11,486
529,11,282
530,11,156
531,11,379
532,11,330
533,11,117
534,11,436
535,11,126
536,11,68
537,11,181
538,11,102
539,11,381
540,11,244
541,11,428
542,11,56
543,11,133
544,11,603
545,11,307
546,11,573
547,11,325
548,11,437
549,11,7
550,11,606
551,11,94
552,11,93
553,11,220
554,11,249
555,11,292
556,11,166
557,11,21
558,11,263
559,11,332
560,11,64
561,11,274
562,11,373
563,11,314
564,11,174
565,11,357
566,11,446
567,11,38
568,11,179
569,11,42
570,11,411
571,11,534
572,11,414
573,11,232
574,11,82
575,11,230
576,11,202
577,11,452
578,12,68
579,12,307
580,12,606
581,12,414
582,13,68
583,13,428
584,13,603
585,13,307
586,13,606
587,13,249
588,13,64
589,13,274
590,13,414
591,13,232
592,14,28
593,14,555
594,14,226
595,14,239
596,14,486
597,14,282
598,14,156
599,14,379
600,14,330
601,14,117
602,14,436
603,14,126
604,14,68
605,14,181
606,14,102
607,14,381
608,14,468
609,14,428
610,14,353
611,14,56
612,14,133
613,14,603
614,14,54
615,14,307
616,14,437
617,14,606
618,14,94
619,14,249
620,14,292
621,14,263
622,14,349
623,14,64
624,14,274
625,14,373
626,14,314
627,14,174
628,14,357
629,14,444
630,14,446
631,14,38
632,14,179
633,14,498
634,14,42
635,14,411
636,14,414
637,14,230
638,14,323
639,14,169
640,15,503
641,15,28
642,15,555
643,15,226
644,15,239
645,15,275
646,15,317
647,15,509
648,15,282
649,15,319
650,15,222
651,15,415
652,15,441
653,15,41
654,15,123
655,15,156
656,15,586
657,15,223
658,15,330
659,15,67
660,15,117
661,15,280
662,15,75
663,15,420
664,15,68
665,15,129
666,15,381
667,15,187
668,15,428
669,15,366
670,15,603
671,15,51
672,15,72
673,15,490
674,15,241
675,15,22
676,15,307
677,15,573
678,15,325
679,15,7
680,15,606
681,15,220
682,15,249
683,15,292
684,15,378
685,15,166
686,15,21
687,15,263
688,15,332
689,15,407
690,15,562
691,15,520
692,15,64
693,15,274
694,15,314
695,15,328
696,15,290
697,15,339
698,15,357
699,15,139
700,15,550
701,15,532
702,15,131
703,15,42
704,15,65
705,15,534
706,15,414
707,15,148
708,15,204
709,15,367
710,15,232
711,15,527
712,15,167
713,15,82
714,15,230
715,15,215
716,15,153
717,15,20
718,15,202
719,15,452
720,15,323
721,15,80
722,15,362
723,15,322
724,15,169
725,16,503
726,16,28
727,16,555
728,16,226
729,16,239
730,16,275
731,16,465
732,16,317
733,16,509
734,16,282
735,16,222
736,16,415
737,16,41
738,16,123
739,16,156
740,16,586
741,16,223
742,16,330
743,16,420
744,16,68
745,16,129
746,16,381
747,16,187
748,16,428
749,16,603
750,16,51
751,16,572
752,16,193
753,16,72
754,16,490
755,16,241
756,16,22
757,16,307
758,16,573
759,16,325
760,16,7
761,16,606
762,16,220
763,16,4
764,16,249
765,16,292
766,16,378
767,16,166
768,16,21
769,16,263
770,16,332
771,16,562
772,16,520
773,16,64
774,16,274
775,16,328
776,16,295
777,16,290
778,16,339
779,16,357
780,16,532
781,16,131
782,16,15
783,16,369
784,16,42
785,16,260
786,16,534
787,16,414
788,16,204
789,16,367
790,16,232
791,16,167
792,16,215
793,16,153
794,16,202
795,16,452
796,16,362
797,16,322
798,17,503
799,17,28
800,17,555
801,17,226
802,17,239
803,17,275
804,17,465
805,17,317
806,17,509
807,17,282
808,17,222
809,17,415
810,17,441
811,17,41
812,17,123
813,17,156
814,17,586
815,17,223
816,17,330
817,17,67
818,17,117
819,17,75
820,17,420
821,17,68
822,17,129
823,17,381
824,17,187
825,17,428
826,17,133
827,17,603
828,17,51
829,17,197
830,17,572
831,17,553
832,17,193
833,17,72
834,17,490
835,17,241
836,17,22
837,17,307
838,17,573
839,17,325
840,17,437
841,17,7
842,17,606
843,17,220
844,17,4
845,17,249
846,17,292
847,17,378
848,17,166
849,17,493
850,17,21
851,17,263
852,17,332
853,17,562
854,17,520
855,17,64
856,17,274
857,17,373
858,17,314
859,17,328
860,17,295
861,17,290
862,17,339
863,17,357
864,17,532
865,17,131
866,17,15
867,17,369
868,17,42
869,17,411
870,17,260
871,17,534
872,17,414
873,17,204
874,17,367
875,17,232
876,17,527
877,17,167
878,17,82
879,17,230
880,17,215
881,17,153
882,17,202
883,17,452
884,17,80
885,17,362
886,17,322
887,17,169
888,17,165
889,18,503
890,18,28
891,18,555
892,18,226
893,18,239
894,18,275
895,18,465
896,18,317
897,18,486
898,18,509
899,18,282
900,18,319
901,18,222
902,18,415
903,18,441
904,18,41
905,18,123
906,18,156
907,18,225
908,18,379
909,18,586
910,18,223
911,18,196
912,18,330
913,18,114
914,18,67
915,18,117
916,18,436
917,18,280
918,18,75
919,18,118
920,18,126
921,18,420
922,18,68
923,18,129
924,18,97
925,18,181
926,18,102
927,18,381
928,18,187
929,18,244
930,18,468
931,18,428
932,18,335
933,18,353
934,18,56
935,18,366
936,18,133
937,18,603
938,18,51
939,18,197
940,18,54
941,18,572
942,18,494
943,18,553
944,18,106
945,18,11
946,18,193
947,18,72
948,18,450
949,18,490
950,18,258
951,18,241
952,18,22
953,18,307
954,18,573
955,18,325
956,18,479
957,18,437
958,18,7
959,18,435
960,18,606
961,18,94
962,18,93
963,18,220
964,18,4
965,18,249
966,18,292
967,18,378
968,18,166
969,18,493
970,18,21
971,18,263
972,18,332
973,18,407
974,18,562
975,18,520
976,18,349
977,18,64
978,18,274
979,18,184
980,18,373
981,18,314
982,18,328
983,18,295
984,18,174
985,18,290
986,18,339
987,18,357
988,18,139
989,18,216
990,18,444
991,18,446
992,18,38
993,18,550
994,18,179
995,18,498
996,18,532
997,18,504
998,18,131
999,18,459
1000,18,15
1001,18,25
1002,18,369
1003,18,42
1004,18,411
1005,18,260
1006,18,65
1007,18,534
1008,18,384
1009,18,414
1010,18,148
1011,18,204
1012,18,367
1013,18,232
1014,18,527
1015,18,167
1016,18,82
1017,18,230
1018,18,215
1019,18,153
1020,18,69
1021,18,20
1022,18,202
1023,18,452
1024,18,323
1025,18,80
1026,18,362
1027,18,322
1028,18,169
1029,18,165
1030,19,451
1031,19,503
1032,19,28
1033,19,555
1034,19,355
1035,19,226
1036,19,239
1037,19,275
1038,19,465
1039,19,317
1040,19,486
1041,19,509
1042,19,282
1043,19,222
1044,19,224
1045,19,456
1046,19,130
1047,19,415
1048,19,441
1049,19,41
1050,19,156
1051,19,225
1052,19,379
1053,19,586
1054,19,223
1055,19,330
1056,19,117
1057,19,436
1058,19,280
1059,19,75
1060,19,126
1061,19,270
1062,19,420
1063,19,68
1064,19,345
1065,19,129
1066,19,181
1067,19,102
1068,19,381
1069,19,187
1070,19,107
1071,19,244
1072,19,468
1073,19,428
1074,19,335
1075,19,353
1076,19,277
1077,19,56
1078,19,133
1079,19,603
1080,19,51
1081,19,197
1082,19,54
1083,19,572
1084,19,553
1085,19,11
1086,19,72
1087,19,450
1088,19,490
1089,19,307
1090,19,573
1091,19,325
1092,19,479
1093,19,437
1094,19,7
1095,19,606
1096,19,94
1097,19,93
1098,19,220
1099,19,4
1100,19,249
1101,19,292
1102,19,166
1103,19,493
1104,19,21
1105,19,263
1106,19,332
1107,19,562
1108,19,520
1109,19,349
1110,19,64
1111,19,274
1112,19,299
1113,19,373
1114,19,314
1115,19,328
1116,19,174
1117,19,290
1118,19,339
1119,19,357
1120,19,216
1121,19,444
1122,19,446
1123,19,38
1124,19,173
1125,19,609
1126,19,179
1127,19,498
1128,19,532
1129,19,504
1130,19,131
1131,19,15
1132,19,369
1133,19,42
1134,19,411
1135,19,260
1136,19,534
1137,19,384
1138,19,414
1139,19,367
1140,19,232
1141,19,502
1142,19,527
1143,19,167
1144,19,82
1145,19,230
1146,19,215
1147,19,153
1148,19,69
1149,19,20
1150,19,316
1151,19,202
1152,19,452
1153,19,323
1154,19,80
1155,19,362
1156,19,322
1157,19,169
1158,19,165
1159,20,28
1160,20,555
1161,20,226
1162,20,239
1163,20,275
1164,20,509
1165,20,282
1166,20,222
1167,20,41
1168,20,156
1169,20,586
1170,20,330
1171,20,117
1172,20,436
1173,20,280
1174,20,420
1175,20,68
1176,20,129
1177,20,97
1178,20,381
1179,20,187
1180,20,428
1181,20,603
1182,20,51
1183,20,22
1184,20,307
1185,20,573
1186,20,325
1187,20,479
1188,20,7
1189,20,606
1190,20,220
1191,20,4
1192,20,249
1193,20,292
1194,20,166
1195,20,21
1196,20,263
1197,20,332
1198,20,562
1199,20,520
1200,20,64
1201,20,274
1202,20,328
1203,20,339
1204,20,357
1205,20,139
1206,20,216
1207,20,504
1208,20,15
1209,20,42
1210,20,534
1211,20,414
1212,20,367
1213,20,232
1214,20,527
1215,20,167
1216,20,82
1217,20,230
1218,20,153
1219,20,316
1220,20,202
1221,20,452
1222,20,80
1223,20,169
1224,21,503
1225,21,28
1226,21,555
1227,21,205
1228,21,226
1229,21,239
1230,21,275
1231,21,465
1232,21,317
1233,21,509
1234,21,282
1235,21,319
1236,21,222
1237,21,415
1238,21,441
1239,21,41
1240,21,123
1241,21,156
1242,21,586
1243,21,223
1244,21,196
1245,21,330
1246,21,114
1247,21,67
1248,21,117
1249,21,436
1250,21,280
1251,21,75
1252,21,420
1253,21,68
1254,21,129
1255,21,181
1256,21,381
1257,21,187
1258,21,244
1259,21,428
1260,21,366
1261,21,603
1262,21,51
1263,21,572
1264,21,494
1265,21,553
1266,21,106
1267,21,11
1268,21,72
1269,21,490
1270,21,241
1271,21,22
1272,21,307
1273,21,573
1274,21,325
1275,21,479
1276,21,7
1277,21,435
1278,21,606
1279,21,94
1280,21,93
1281,21,220
1282,21,4
1283,21,249
1284,21,292
1285,21,378
1286,21,166
1287,21,493
1288,21,263
1289,21,332
1290,21,407
1291,21,562
1292,21,520
1293,21,64
1294,21,274
1295,21,184
1296,21,373
1297,21,314
1298,21,328
1299,21,290
1300,21,339
1301,21,357
1302,21,139
1303,21,216
1304,21,446
1305,21,38
1306,21,550
1307,21,532
1308,21,131
1309,21,459
1310,21,15
1311,21,369
1312,21,42
1313,21,411
1314,21,534
1315,21,414
1316,21,252
1317,21,148
1318,21,204
1319,21,367
1320,21,232
1321,21,527
1322,21,167
1323,21,82
1324,21,230
1325,21,215
1326,21,153
1327,21,20
1328,21,202
1329,21,452
1330,21,323
1331,21,80
1332,21,362
1333,21,322
1334,21,169
1335,21,165
1336,22,503
1337,22,28
1338,22,226
1339,22,239
1340,22,275
1341,22,317
1342,22,509
1343,22,282
1344,22,222
1345,22,41
1346,22,156
1347,22,586
1348,22,223
